number_id,value,appears_as,section,script,output_file,column,status,notes
N32,9000,Enhanced CPF Housing Grant income ceiling in dollars,The middle aged out,none,grant_schedule.csv,amount,PRIMARY,HDB EHG page
N33,80000,maximum Enhanced CPF Housing Grant before August 2024,The middle aged out,none,ehg_bands.csv,ehg_amount,PRIMARY,HDB Annex A Current column
N34,120000,maximum Enhanced CPF Housing Grant from August 2024,The middle aged out,none,ehg_bands.csv,ehg_amount,PRIMARY,HDB Annex A Revised column
N35,12000,purchase and grant income ceiling before September 2019,The middle aged out,none,grant_schedule.csv,amount,NEEDS-PRIMARY,
N36,14000,purchase and grant income ceiling 2019 to August 2026,The middle aged out,none,grant_schedule.csv,amount,PRIMARY,MOF Budget 2023 Annex E-1
N37,16000,purchase and grant income ceiling from August 2026,The middle aged out,none,grant_schedule.csv,amount,NEEDS-PRIMARY,after the window
N38,10000,median household's EHG in 2019 in dollars,The middle aged out,04_grants.py,out/grants_by_buyer.csv,ehg,COMPUTED,
N39,60000,median household's total grant in 2019 in dollars,The middle aged out,04_grants.py,out/grants_by_buyer.csv,total_grant,COMPUTED,
N40,80000,median household's total grant from 2023 in dollars,The middle aged out,04_grants.py,out/grants_by_buyer.csv,total_grant,COMPUTED,
N41,30000,rise in the CPF Housing Grant at Budget 2023 in dollars,The middle aged out,none,grant_schedule.csv,amount,PRIMARY,50000 to 80000
N42,40000,maximum Additional CPF Housing Grant in dollars,What this does not explain,none,grant_schedule.csv,amount,PRIMARY,HDB MND MICA flyer
N43,2013,window start year,throughout,none,THESIS.md,,PRE-REGISTERED,
N44,2025,window end year the last complete year,throughout,none,THESIS.md,,PRE-REGISTERED,
N45,2017,the near-trough alternative base,throughout,none,THESIS.md,,PRE-REGISTERED,
N46,2019,the year the ratio bottomed and the EHG began,throughout,05_affordability.py,out/affordability.csv,price_to_income_years,COMPUTED,
N47,2022,year median income crossed the EHG ceiling,The middle aged out,06_tests.py,RESULTS.md,,COMPUTED,upper bound 2022.1
N48,2012,first month of consistent registration-date data,What this does not explain,01_clean.py,out/clean_report.txt,,COMPUTED,March 2012
N49,2011,year of the HDB MND MICA flyer,What this does not explain,none,raw/hdb_mnd_shg_flyer_2011.pdf,,PRIMARY,
N50,2016,CPF announcement year used as the early rate check,The grant went up,none,raw/cpf2.pdf,,PRIMARY,
N51,2020,year cited for buyers who started looking,intro,none,none,,CONTEXT,no figure attached
N52,2021,year of the December loan-to-value change,The grant went up,none,ltv_schedule.csv,in_force_from,PRIMARY,
N53,2023,year the median household's EHG reached zero,The middle aged out,04_grants.py,out/grants_by_buyer.csv,ehg,COMPUTED,
N54,2024,year of the August loan-to-value and EHG changes,The grant went up,none,ltv_schedule.csv,in_force_from,NEEDS-PRIMARY,
N55,2026,current year and the CPF announcement used as the late rate check,The grant went up,none,raw/cpf3_q3_2026.pdf,,PRIMARY,
